time,X_value,Y_value,Z_value
0.0197,0.68701,0.84966,10.24193
0.0404,0.85521,0.94244,10.63756
0.0607,1.01862,1.04001,10.32452
0.0808,1.01622,1.10944,9.44945
0.1022,0.96654,1.16031,9.06517
0.1206,0.95099,1.09866,9.48775
0.1414,0.8199,0.99452,10.00729
0.1616,0.70078,0.92628,10.1689
0.1824,0.75525,0.93106,9.95462
0.2022,0.88933,1.03581,9.60626
0.2229,1.00365,1.01486,9.51408
0.2439,0.89711,0.96997,9.81276
0.2624,0.87077,0.90294,10.06357
0.2833,0.8606,0.86583,10.12761
0.3037,0.9025,0.91969,9.98694
0.3238,0.99408,1.0047,9.73137
0.345,0.9845,0.9993,9.67749
0.3642,0.98869,1.01906,9.74513
0.3911,1.00246,0.96638,9.84927
0.4049,1.00485,0.91611,9.89058
0.4262,1.01024,0.93108,9.69185
0.4454,1.0683,1.06334,9.53503
0.4653,1.15988,1.11363,9.44646
0.4871,1.25565,1.1657,9.42131
0.511,1.13354,1.08369,9.56377
0.5285,1.12038,1.0394,9.82114
0.5463,1.25264,1.02803,10.2126
0.5666,1.3586,0.92209,10.00789
0.5883,1.2281,0.84846,9.60327
0.6069,1.23888,0.81017,9.7164
0.6291,1.44359,0.87361,10.04201
0.6464,1.54234,0.93765,10.30716
0.6701,1.61836,0.94304,10.29579
0.687,1.70096,0.98853,9.94385
0.7081,1.6423,1.02924,9.54462
0.7282,1.50584,0.90234,9.6338
0.7492,1.37894,0.84189,9.88339
0.7702,1.28915,0.84846,9.82054
0.791,1.25684,0.8766,9.61703
0.8098,1.34602,0.797,9.75711
0.8299,1.3945,0.85565,9.96719
0.8503,1.34482,0.8371,9.89537
0.8705,1.17303,0.84787,9.73076
0.8917,1.34541,0.95741,9.66791
0.9118,1.56749,1.02145,9.60208
0.931,1.65428,1.05975,9.55959
0.9594,1.73448,1.13876,9.65236
0.9716,1.79015,1.09686,9.71042
0.9922,1.8045,1.17528,9.56258
1.0118,1.87335,1.22256,9.56796
1.0328,1.90506,1.19383,9.74632
1.0539,2.00742,1.11064,9.79361
1.0746,1.96313,1.08908,9.73375
1.0928,1.96912,1.11842,9.87621
1.1143,2.08524,1.11841,9.77026
1.1337,2.17143,1.18066,9.57095
1.154,2.29173,1.20641,9.32375
1.1741,2.27856,1.34766,9.30699
1.1945,2.38152,1.371,9.45723
1.2141,2.58742,1.31833,9.65775
1.2358,2.61435,1.27583,9.51768
1.2553,2.46471,1.40033,9.56557
1.275,2.57544,1.4554,9.61345
1.2954,2.84898,1.42548,9.42311
1.3163,2.96869,1.49132,9.39558
1.3361,2.8837,1.38657,9.45064
1.358,2.79871,1.3333,9.53743
1.3763,2.71611,1.44942,9.53804
1.3973,2.76817,1.33748,9.18968
1.417,3.01418,1.27882,8.87184
1.4375,3.15784,1.29439,9.00891
1.4573,3.17281,1.24651,9.32315
1.4783,3.31645,1.1687,9.48236
1.4977,3.38708,1.08011,9.65115
1.5188,3.08002,0.95381,9.84149
1.5378,3.00162,1.01367,9.65295
1.5589,3.2937,1.07292,9.2202
1.5782,3.34099,1.05498,9.06937
1.5996,3.03394,1.12979,9.12024
1.6203,3.27934,1.19623,9.08792
1.6395,3.53851,1.125,9.06578
1.6591,3.4182,0.86702,9.12204
1.6801,3.21948,0.83949,9.32076
1.7002,3.30986,1.05676,9.28006
1.7208,3.47267,0.96997,9.1382
1.7407,3.52475,0.74373,9.05321
1.7641,3.77493,0.80298,9.31776
1.782,4.04967,0.91132,9.49254
1.8028,4.01196,0.83171,9.45723
1.8223,3.76537,0.71739,9.37582
1.8409,3.6684,0.77306,9.33273
1.8621,3.52715,0.81914,9.20105
1.8823,3.64984,0.85266,9.03764
1.9022,3.85873,1.1232,9.00352
1.9249,4.0401,1.46498,8.82037
1.9462,4.02394,1.46437,8.56659
1.9627,4.13228,1.56015,8.42473
1.9832,4.17297,1.62898,8.3493
2.004,4.09576,1.76425,8.44748
2.0231,4.13586,1.62059,8.57436
2.0441,4,1.51166,8.7282
2.0638,4.2059,1.62059,8.73059
2.0853,4.41838,1.82231,8.58813
2.105,4.19751,1.74449,8.56
2.1255,4.11432,1.68524,8.66295
2.1454,4.32919,1.77922,8.75572
2.1665,4.45609,1.81213,8.61208
2.1894,4.63385,1.9474,8.43311
2.2058,4.69131,1.99948,8.21762
2.2263,4.53331,1.95879,8.05841
2.2465,4.49739,1.84087,8.21225
2.2667,4.59555,1.76544,8.59293
2.288,4.63625,1.76067,8.87006
2.3074,4.60452,1.73253,8.83354
2.3297,4.57581,1.76245,8.4337
2.3478,4.61111,1.88815,8.21404
2.3681,4.79008,1.95578,8.33315
2.3883,4.85173,1.96536,8.3996
2.4092,4.73262,1.9935,8.39719
2.4288,4.69791,1.91209,8.36726
2.4499,4.6147,1.83368,8.31221
2.4694,4.7428,1.948,8.37924
2.4944,4.93314,1.951,8.29784
2.5097,4.95169,1.94083,8.33255
2.5297,5.01215,1.91568,8.27209
2.5494,5.10851,1.96596,8.33075
2.5704,5.09175,1.90431,8.3499
2.5906,5.10252,1.91089,8.20746
2.6127,5.29646,1.97255,8.20924
2.6313,5.34134,1.87978,8.33734
2.6515,5.14981,1.72655,8.60669
2.6714,4.97922,1.59546,8.6815
2.6926,5.00555,1.64993,8.48218
2.7122,5.21326,1.80675,8.2715
2.7332,5.45387,1.87019,8.229
2.7525,5.52451,1.81093,8.31758
2.7804,5.30185,1.63437,8.4361
2.7927,5.20367,1.4931,8.54265
2.8139,5.25635,1.46498,8.51691
2.8339,5.46165,1.50987,8.46782
2.8575,5.63643,1.51765,8.32657
2.8741,5.57538,1.42247,8.13443
2.8956,5.27551,1.33508,8.08057
2.9144,5.18274,1.26985,8.30562
2.9348,5.28029,1.18007,8.36368
2.955,5.34554,1.17888,8.31221
2.9757,5.37247,1.12021,8.23798
2.9959,5.49458,1.125,8.10451
3.0161,5.4425,1.17528,8.12724
3.036,5.37247,1.13757,8.23857
3.066,5.36409,0.99391,8.39958
3.076,5.23779,0.91072,8.42354
3.0965,5.20187,0.9185,8.14819
3.1163,5.21086,0.97177,7.74777
3.1379,5.23122,1.09866,7.5257
3.1573,5.2791,1.12979,7.48979
3.182,5.19829,1.03102,7.53288
3.1979,5.22763,0.99213,7.66278
3.2185,5.38383,0.98015,7.77351
3.2385,5.43651,0.97955,7.96085
3.2598,5.49458,0.85445,8.11887
3.2787,5.58675,0.77545,8.25833
3.301,5.68491,0.77484,8.27988
3.3192,5.58615,0.78801,8.19429
3.3401,5.57417,0.7569,8.18352
3.3598,5.68431,0.82274,8.11108
3.3802,5.80283,0.94724,7.87106
3.4002,6.00992,1.13158,7.71126
3.4207,6.13203,1.18066,7.55682
3.4413,6.01651,1.05916,7.43771
3.4626,5.97701,1.05257,7.54066
3.4813,6.00993,1.05437,7.64841
3.5021,6.03685,1.06395,7.75734
3.5217,6.05423,1.09148,7.6526
3.5421,6.03806,1.1651,7.45985
3.5622,5.93332,1.21419,7.25636
3.5826,5.85609,1.18365,7.21446
3.602,5.97162,1.21597,7.43353
