time,X_value,Y_value,Z_value
0.0197,-0.16954,0.14079,-0.05276
0.0607,-0.25583,0.14079,-0.04532
0.1022,0.2065,-0.1447,-0.03253
0.1415,-0.01401,-0.02432,-0.0762
0.1824,-0.13866,0.0087,-0.08685
0.2251,0.06908,-0.10103,-0.0549
0.2625,-0.04172,-0.05095,-0.07195
0.3037,-0.07474,-0.02646,-0.08685
0.3451,0.04031,-0.06694,-0.0762
0.3911,-0.03319,-0.0222,-0.09113
0.4262,-0.04384,-0.05095,-0.10817
0.4653,0.01048,-0.13191,-0.1071
0.511,-0.03105,-0.27573,-0.14333
0.5468,-0.05769,-0.46854,-0.18593
0.5883,-0.03212,-0.4025,-0.14545
0.6292,-0.14931,-0.13724,-0.10178
0.6701,-0.24092,0.00018,-0.04958
0.7081,0.01155,-0.07971,-0.10497
0.7492,0.09998,-0.12552,-0.18593
0.791,0.00729,0.01935,-0.17635
0.83,0.01901,0.01509,-0.1284
0.8706,0.03499,0.01509,-0.09752
0.9119,0.06908,0.01083,-0.05383
0.9594,0.12128,-0.15642,-0.0123
0.9922,0.12874,-0.23312,-0.00696
1.0328,0.08719,-0.20116,0.0186
1.0779,0.06482,-0.26508,0.01009
1.1144,0.09891,-0.28426,-0.00163
1.1541,0.17027,-0.34711,0.01646
1.1952,0.16815,-0.4238,0.00688
1.2358,0.07333,-0.40675,-0.00591
1.2751,0.06589,-0.35776,-0.02295
1.3163,0.07014,-0.33432,-0.00377
1.358,0.01581,-0.28745,-0.05171
1.3973,-0.08113,-0.23845,-0.04639
1.4375,-0.18126,-0.20541,0.03885
1.4783,-0.32507,-0.29063,0.00262
1.5189,-0.26434,-0.30875,-0.04744
1.559,-0.08113,-0.09676,0.02818
1.5996,-0.03212,-0.03391,0.10915
1.6409,-0.08218,-0.22459,0.07399
1.6802,-0.11095,-0.35136,0.02925
1.7208,-0.19191,-0.24483,0.11874
1.7641,-0.1525,-0.3652,0.18158
1.8028,0.04352,-0.47279,0.12833
1.8409,0.21822,-0.2459,0.0186
1.8823,0.34392,-0.04243,0.15709
1.925,0.53673,-0.1138,0.31155
1.9628,0.56017,-0.22566,0.18158
2.004,0.3013,-0.16493,0.10382
2.0441,0.09038,-0.28531,0.03246
2.0854,0.09891,-0.43765,0.00369
2.1256,0.07333,-0.31621,0.04736
2.1665,0.02008,-0.25017,0.10489
2.2058,0.15111,-0.21288,0.1443
2.2465,0.11382,-0.19583,0.08784
2.2881,-0.07474,-0.19902,0.07506
2.3298,0.0318,-0.12766,0.12833
2.3681,0.18839,-0.10103,0.17413
2.4093,0.10742,-0.15428,0.16774
2.45,0.06268,-0.03391,0.16988
2.4944,0.10849,-0.0499,0.24443
2.5298,0.14258,-0.12552,0.2764
2.5704,0.16708,-0.16174,0.28279
2.6127,0.1756,-0.12019,0.30623
2.6515,0.09251,-0.0712,0.29663
2.6926,0.08505,-0.09143,0.28598
2.7332,0.21715,-0.06799,0.37227
2.7804,0.20331,-0.08292,0.36588
2.8139,0.17027,-0.07971,0.30623
2.8576,0.26828,-0.07439,0.34776
2.8986,0.27467,-0.00409,0.34564
2.9349,0.21501,-0.03497,0.3499
2.9757,0.22993,-0.04776,0.44044
3.0161,0.23952,0.00763,0.48306
3.066,0.24165,-0.08292,0.41914
3.0965,0.3535,-0.19476,0.35841
3.1379,0.49199,-0.18198,0.36908
3.182,0.41742,-0.20755,0.36481
3.2185,0.2523,-0.16493,0.37227
3.2599,0.18625,-0.13618,0.3989
3.301,0.21715,-0.15855,0.40317
3.3401,0.24272,-0.09889,0.42233
3.3802,0.25977,-0.07971,0.45963
3.4208,0.32581,-0.08398,0.47134
3.4626,0.29065,-0.08717,0.38185
3.5021,0.20863,-0.13937,0.31688
3.5422,0.24377,-0.10422,0.30623
3.5826,0.22673,0.05025,0.29663
3.6237,0.11914,-0.02753,0.29451
3.664,0.15643,-0.07759,0.31688
3.7048,0.22035,-0.02432,0.32327
3.7468,0.18945,-0.12233,0.30728
3.7847,0.18625,-0.07759,0.2551
3.8259,0.19585,-0.0499,0.20609
3.8681,0.25124,-0.02753,0.24231
3.9064,0.22035,0.00018,0.22313
3.9469,0.11595,0.00124,0.15602
3.9876,0.10956,-0.02965,0.19969
4.0297,0.20436,-0.019,0.30302
4.0685,0.25337,-0.08504,0.2977
4.1082,0.22568,-0.10422,0.22527
4.1522,0.14578,-0.11275,0.16988
4.1926,0.1852,-0.12447,0.18158
4.2311,0.28107,-0.03178,0.21887
4.2717,0.2374,-0.08717,0.19011
4.3137,0.22354,-0.09357,0.19543
4.3526,0.31729,-0.03072,0.26042
4.3923,0.36736,-0.02432,0.25189
4.4342,0.39824,0.01295,0.28491
4.4731,0.41103,0.02255,0.34457
4.5144,0.40889,0.02788,0.38399
4.5544,0.47174,0.03639,0.41168
4.5964,0.5314,0.12907,0.4969
4.6354,0.52715,0.11629,0.55336
4.6761,0.56549,0.10245,0.58958
4.7192,0.55058,0.12907,0.58319
4.758,0.47601,0.1067,0.53099
4.7975,0.54631,0.09818,0.5555
4.8386,0.59851,0.10884,0.60237
4.8804,0.51649,0.1035,0.55656
4.9188,0.49306,0.0609,0.53419
4.9591,0.51755,0.10777,0.57573
5.0009,0.46429,0.12589,0.53525
5.0402,0.46429,0.09605,0.51076
5.0804,0.48878,0.1067,0.55869
5.1213,0.52821,0.07581,0.56189
5.1642,0.5069,0.05876,0.50862
5.202,0.45364,0.11842,0.52992
5.2426,0.44725,0.09499,0.5182
5.2845,0.54845,0.02467,0.49904
5.3268,0.6049,0.02467,0.5033
5.364,0.54526,0.0822,0.46814
5.4043,0.51755,0.02042,0.44684
5.4459,0.62834,-0.03285,0.49583
5.4859,0.6113,0.07474,0.49265
5.5257,0.49731,0.12694,0.44684
5.566,0.51436,0.07368,0.49904
5.6084,0.58893,0.07794,0.55336
5.6474,0.5101,0.07155,0.54591
5.6879,0.48773,0.04385,0.48732
5.7305,0.53459,0.06303,0.51076
5.7686,0.52182,0.04172,0.51288
5.8094,0.52287,0.07687,0.50969
5.852,0.53459,0.07262,0.51395
5.8959,0.52287,0.1067,0.53099
5.9304,0.47601,0.13866,0.53419
5.9715,0.50478,0.13654,0.55017
6.0136,0.52182,0.15251,0.56296
6.0515,0.51436,0.14825,0.56828
6.0921,0.46855,0.12801,0.51608
6.1331,0.38866,0.16635,0.49797
6.1739,0.3567,0.17595,0.50969
6.2151,0.39079,0.17595,0.45003
6.2545,0.45044,0.1834,0.52673
6.2968,0.5069,0.21004,0.58958
6.3355,0.40677,0.14825,0.48839
6.3765,0.33539,0.10457,0.47879
6.4176,0.42168,0.12801,0.53099
6.4597,0.40677,0.12161,0.4969
6.4974,0.4057,0.08327,0.52034
6.5381,0.42274,0.08752,0.50862
6.583,0.3535,0.05876,0.50011
6.6201,0.35457,0.04065,0.52567
6.6594,0.41849,0.05557,0.49904
6.7077,0.39291,0.06409,0.42126
6.7398,0.34285,0.04599,0.3808
6.7811,0.36415,0.04918,0.3808
6.8235,0.38226,0.00444,0.40422
6.8615,0.32687,-0.00835,0.38612
6.9025,0.3322,0.02148,0.37759
6.9429,0.33327,0.02361,0.35416
6.9862,0.3045,0.00337,0.29344
7.0239,0.37268,0.09073,0.33604
7.0644,0.44937,0.03107,0.41275
7.1071,0.41956,-0.03497,0.31367
7.1455,0.32687,-0.03285,0.26254
7.1854,0.30769,0.03746,0.28598
7.2273,0.32262,0.01402,0.24017
7.2681,0.34499,-0.00941,0.29451
7.3068,0.37587,0.10777,0.32753
7.3479,0.42593,0.06622,0.3009
7.3896,0.4334,0.04279,0.2487
7.4301,0.38013,0.03853,0.21568
7.4693,0.3322,0.00551,0.17625
7.51,0.33327,0.01935,0.19118
7.5512,0.33966,0.03427,0.3222
7.5902,0.33966,0.03853,0.36908
7.6315,0.34285,0.02361,0.34883
7.6732,0.33006,0.08966,0.41061
7.7134,0.31195,0.12907,0.39357
7.752,0.35564,0.09073,0.44365
7.7938,0.40038,0.06836,0.48518
7.8356,0.36736,0.02255,0.43726
7.8734,0.41742,0.0545,0.45216
7.9149,0.37801,0.07901,0.40956
7.9557,0.29811,0.0854,0.34457
7.9998,0.32367,0.14505,0.39996
8.0356,0.37801,0.11949,0.48839
8.0763,0.41103,0.04385,0.47028
8.1181,0.34499,0.02361,0.4234
8.1564,0.32474,0.01295,0.42766
8.1974,0.4334,0.07794,0.46175
8.2398,0.3748,0.0822,0.42021
8.2785,0.33434,0.03746,0.42554
8.3189,0.46216,0.04279,0.48199
8.3609,0.46216,0.07687,0.47134
8.4003,0.42807,0.04599,0.44365
8.4415,0.44937,0.12694,0.38612
8.4811,0.36629,0.13654,0.36269
8.5235,0.48241,0.13333,0.49797
8.5623,0.5836,0.08327,0.52567
8.6026,0.50264,0.05983,0.46921
8.6436,0.45258,0.12375,0.41489
8.6843,0.38759,0.1344,0.3499
8.724,0.39931,0.13654,0.4724
8.7648,0.47069,0.05557,0.54591
8.8063,0.40356,0.03,0.41275
8.8453,0.35031,0.02574,0.37334
8.8858,0.46323,0.0545,0.42766
8.9267,0.50478,0.04704,0.41594
8.9675,0.46109,0.0396,0.46175
9.0073,0.49625,0.07794,0.51076
9.0478,0.50797,0.08434,0.56082
9.0919,0.42381,0.07687,0.51501
9.1293,0.33966,0.08008,0.4543
9.1693,0.39717,0.14612,0.53313
9.2104,0.43233,0.17274,0.50011
9.2498,0.40677,0.15144,0.45856
9.2903,0.43021,0.19406,0.49051
9.3309,0.4057,0.13014,0.44365
9.3756,0.32155,0.07581,0.35736
9.413,0.29385,0.11096,0.39784
9.4528,0.22035,0.0822,0.33711
9.4953,0.16602,0.07687,0.34244
9.5386,0.2374,0.12375,0.43831
9.5748,0.24059,0.05769,0.39038
9.6155,0.21501,0.04279,0.38506
9.657,0.24165,0.07155,0.34351
9.6958,0.21501,0.03107,0.29237
9.7369,0.21715,0.02895,0.2977
9.7779,0.22673,0.01083,0.26894
9.817,0.21289,0.0119,0.24124
9.8574,0.19691,0.00444,0.22952
9.8982,0.22568,0.01509,0.22313
9.9408,0.24272,-0.00621,0.22101
9.9797,0.22141,-0.03925,0.1933
10.0203,0.22673,-0.00621,0.20822
10.0624,0.14471,-0.03711,0.14217
10.1061,0.12553,-0.03925,0.19011
10.1413,0.27254,-0.13405,0.3744
10.1816,0.27361,-0.16388,0.32007
10.2238,0.22141,-0.09996,0.26682
10.2619,0.22887,-0.04883,0.23273
10.3026,0.21822,-0.0648,0.23273
10.3444,0.27042,-0.06587,0.30942
10.3835,0.33859,-0.07227,0.34776
10.4252,0.33646,-0.05841,0.31155
